Lat;Lon;Sats;X;Y
-21.7615912;-41.3370663;12;0.344;-1.304
-21.7615912;-41.3370663;12;0.344;-1.304
-21.7615913;-41.3370663;12;0.344;-1.322
-21.7615913;-41.3370663;12;0.344;-1.322
-21.7615915;-41.3370663;12;0.344;-1.341
-21.7615915;-41.3370663;12;0.344;-1.341
-21.7615917;-41.3370663;12;0.344;-1.360
-21.7615917;-41.3370663;12;0.344;-1.360
-21.7615915;-41.3370662;12;0.362;-1.341
-21.7615915;-41.3370662;12;0.362;-1.341
-21.7615917;-41.3370663;12;0.344;-1.360
-21.7615917;-41.3370663;12;0.344;-1.360
-21.7615918;-41.3370663;12;0.344;-1.378
-21.7615918;-41.3370663;12;0.344;-1.378
-21.7615917;-41.3370663;12;0.344;-1.360
-21.7615917;-41.3370663;12;0.344;-1.360
-21.7615918;-41.3370663;12;0.344;-1.378
-21.7615918;-41.3370663;12;0.344;-1.378
-21.7615918;-41.3370663;12;0.344;-1.378
-21.7615918;-41.3370663;12;0.344;-1.378
-21.7615920;-41.3370663;12;0.344;-1.397
-21.7615920;-41.3370663;12;0.344;-1.397
-21.7615918;-41.3370663;12;0.344;-1.378
-21.7615918;-41.3370663;12;0.344;-1.378
-21.7615920;-41.3370663;12;0.344;-1.397
-21.7615920;-41.3370663;12;0.344;-1.397
-21.7615922;-41.3370663;12;0.344;-1.415
-21.7615922;-41.3370663;12;0.344;-1.415
-21.7615920;-41.3370663;12;0.344;-1.397
-21.7615920;-41.3370663;12;0.344;-1.397
-21.7615920;-41.3370662;12;0.362;-1.397
-21.7615920;-41.3370662;12;0.362;-1.397
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615922;-41.3370662;12;0.362;-1.415
-21.7615923;-41.3370662;12;0.362;-1.434
-21.7615923;-41.3370662;12;0.362;-1.434
-21.7615923;-41.3370662;12;0.362;-1.434
-21.7615923;-41.3370662;12;0.362;-1.434
-21.7615925;-41.3370662;12;0.362;-1.452
-21.7615925;-41.3370662;12;0.362;-1.452
-21.7615925;-41.3370662;12;0.362;-1.452
-21.7615925;-41.3370662;12;0.362;-1.452
-21.7615927;-41.3370662;12;0.362;-1.471
-21.7615927;-41.3370662;12;0.362;-1.471
-21.7615927;-41.3370662;12;0.362;-1.471
-21.7615927;-41.3370662;12;0.362;-1.471
-21.7615928;-41.3370662;12;0.362;-1.489
-21.7615928;-41.3370662;12;0.362;-1.489
-21.7615928;-41.3370662;12;0.362;-1.489
-21.7615928;-41.3370662;12;0.362;-1.489
-21.7615930;-41.3370662;12;0.362;-1.508
-21.7615930;-41.3370662;12;0.362;-1.508
-21.7615930;-41.3370662;12;0.362;-1.508
-21.7615930;-41.3370662;12;0.362;-1.508
-21.7615932;-41.3370662;12;0.362;-1.526
-21.7615932;-41.3370662;12;0.362;-1.526
-21.7615932;-41.3370662;12;0.362;-1.526
-21.7615932;-41.3370662;12;0.362;-1.526
-21.7615932;-41.3370662;12;0.362;-1.526
-21.7615932;-41.3370662;12;0.362;-1.526
-21.7615933;-41.3370662;12;0.362;-1.545
-21.7615933;-41.3370662;12;0.362;-1.545
-21.7615932;-41.3370662;12;0.362;-1.526
-21.7615932;-41.3370662;12;0.362;-1.526
-21.7615935;-41.3370662;12;0.362;-1.563
-21.7615935;-41.3370662;12;0.362;-1.563
-21.7615935;-41.3370662;12;0.362;-1.563
-21.7615935;-41.3370662;12;0.362;-1.563
-21.7615935;-41.3370662;12;0.362;-1.563
-21.7615935;-41.3370662;12;0.362;-1.563
-21.7615935;-41.3370662;12;0.362;-1.563
-21.7615935;-41.3370662;12;0.362;-1.563
-21.7615935;-41.3370660;12;0.379;-1.563
-21.7615935;-41.3370660;12;0.379;-1.563
-21.7615937;-41.3370662;12;0.362;-1.582
-21.7615937;-41.3370662;12;0.362;-1.582
-21.7615937;-41.3370660;12;0.379;-1.582
-21.7615937;-41.3370660;12;0.379;-1.582
-21.7615937;-41.3370660;12;0.379;-1.582
-21.7615937;-41.3370660;12;0.379;-1.582
-21.7615938;-41.3370660;12;0.379;-1.600
-21.7615938;-41.3370660;12;0.379;-1.600
-21.7615940;-41.3370660;12;0.379;-1.619
-21.7615940;-41.3370660;12;0.379;-1.619
-21.7615940;-41.3370660;12;0.379;-1.619
-21.7615940;-41.3370660;12;0.379;-1.619
-21.7615940;-41.3370660;12;0.379;-1.619
-21.7615940;-41.3370660;12;0.379;-1.619
-21.7615942;-41.3370660;12;0.379;-1.638
-21.7615942;-41.3370660;12;0.379;-1.638
-21.7615940;-41.3370658;12;0.396;-1.619
-21.7615940;-41.3370658;12;0.396;-1.619
-21.7615942;-41.3370658;12;0.396;-1.638
-21.7615942;-41.3370658;12;0.396;-1.638
-21.7615942;-41.3370658;12;0.396;-1.638
-21.7615942;-41.3370658;12;0.396;-1.638
-21.7615942;-41.3370662;12;0.362;-1.638
-21.7615942;-41.3370662;12;0.362;-1.638
-21.7615947;-41.3370660;12;0.379;-1.693
-21.7615947;-41.3370660;12;0.379;-1.693
-21.7615945;-41.3370660;12;0.379;-1.675
-21.7615945;-41.3370660;12;0.379;-1.675
-21.7615947;-41.3370660;12;0.379;-1.693
-21.7615947;-41.3370660;12;0.379;-1.693
-21.7615948;-41.3370658;12;0.396;-1.712
-21.7615948;-41.3370658;12;0.396;-1.712
-21.7615948;-41.3370658;12;0.396;-1.712
-21.7615948;-41.3370658;12;0.396;-1.712
-21.7615948;-41.3370657;12;0.413;-1.712
-21.7615948;-41.3370657;12;0.413;-1.712
-21.7615948;-41.3370655;12;0.430;-1.712
-21.7615948;-41.3370655;12;0.430;-1.712
-21.7615950;-41.3370653;12;0.448;-1.730
-21.7615950;-41.3370653;12;0.448;-1.730
-21.7615948;-41.3370652;12;0.465;-1.712
-21.7615948;-41.3370652;12;0.465;-1.712
-21.7615948;-41.3370650;12;0.482;-1.712
-21.7615948;-41.3370650;12;0.482;-1.712
-21.7615952;-41.3370648;12;0.499;-1.749
-21.7615952;-41.3370648;12;0.499;-1.749
-21.7615948;-41.3370647;12;0.516;-1.712
-21.7615948;-41.3370647;12;0.516;-1.712
-21.7615947;-41.3370645;12;0.534;-1.693
-21.7615947;-41.3370645;12;0.534;-1.693
-21.7615947;-41.3370645;12;0.534;-1.693
-21.7615947;-41.3370645;12;0.534;-1.693
-21.7615945;-41.3370643;12;0.551;-1.675
-21.7615945;-41.3370643;12;0.551;-1.675
-21.7615943;-41.3370643;12;0.551;-1.656
-21.7615943;-41.3370643;12;0.551;-1.656
-21.7615938;-41.3370642;12;0.568;-1.600
-21.7615938;-41.3370642;12;0.568;-1.600
-21.7615930;-41.3370640;12;0.585;-1.508
-21.7615930;-41.3370640;12;0.585;-1.508
-21.7615930;-41.3370642;12;0.568;-1.508
-21.7615930;-41.3370642;12;0.568;-1.508
-21.7615923;-41.3370640;12;0.585;-1.434
-21.7615923;-41.3370640;12;0.585;-1.434
-21.7615918;-41.3370638;12;0.603;-1.378
-21.7615918;-41.3370638;12;0.603;-1.378
-21.7615918;-41.3370637;12;0.620;-1.378
-21.7615918;-41.3370637;12;0.620;-1.378
-21.7615917;-41.3370633;12;0.654;-1.360
-21.7615917;-41.3370633;12;0.654;-1.360
-21.7615918;-41.3370630;12;0.689;-1.378
-21.7615918;-41.3370630;12;0.689;-1.378
-21.7615908;-41.3370625;12;0.740;-1.267
-21.7615908;-41.3370625;12;0.740;-1.267
-21.7615910;-41.3370623;12;0.757;-1.285
-21.7615910;-41.3370623;12;0.757;-1.285
-21.7615897;-41.3370618;12;0.809;-1.137
-21.7615897;-41.3370618;12;0.809;-1.137
-21.7615895;-41.3370615;12;0.843;-1.119
-21.7615895;-41.3370615;12;0.843;-1.119
-21.7615888;-41.3370612;12;0.878;-1.044
-21.7615888;-41.3370612;12;0.878;-1.044
-21.7615890;-41.3370612;12;0.878;-1.063
-21.7615890;-41.3370612;12;0.878;-1.063
-21.7615883;-41.3370610;12;0.895;-0.989
-21.7615883;-41.3370610;12;0.895;-0.989
-21.7615875;-41.3370607;12;0.930;-0.896
-21.7615875;-41.3370607;12;0.930;-0.896
-21.7615868;-41.3370608;12;0.912;-0.822
-21.7615868;-41.3370608;12;0.912;-0.822
-21.7615872;-41.3370607;12;0.930;-0.859
-21.7615872;-41.3370607;12;0.930;-0.859
-21.7615885;-41.3370608;12;0.912;-1.007
-21.7615885;-41.3370608;12;0.912;-1.007
-21.7615882;-41.3370605;12;0.947;-0.970
-21.7615882;-41.3370605;12;0.947;-0.970
-21.7615882;-41.3370602;12;0.981;-0.970
-21.7615882;-41.3370602;12;0.981;-0.970
-21.7615873;-41.3370602;12;0.981;-0.878
-21.7615873;-41.3370602;12;0.981;-0.878
-21.7615868;-41.3370597;12;1.033;-0.822
-21.7615868;-41.3370597;12;1.033;-0.822
-21.7615865;-41.3370597;12;1.033;-0.785
-21.7615865;-41.3370597;12;1.033;-0.785
-21.7615855;-41.3370597;12;1.033;-0.674
-21.7615855;-41.3370597;12;1.033;-0.674
-21.7615842;-41.3370590;12;1.102;-0.526
-21.7615842;-41.3370590;12;1.102;-0.526
-21.7615832;-41.3370588;12;1.119;-0.414
-21.7615832;-41.3370588;12;1.119;-0.414
-21.7615822;-41.3370587;12;1.136;-0.303
-21.7615822;-41.3370587;12;1.136;-0.303
-21.7615812;-41.3370583;12;1.171;-0.192
-21.7615812;-41.3370583;12;1.171;-0.192
-21.7615803;-41.3370582;12;1.188;-0.099
-21.7615803;-41.3370582;12;1.188;-0.099
-21.7615792;-41.3370578;12;1.222;0.030
-21.7615792;-41.3370578;12;1.222;0.030
-21.7615780;-41.3370575;12;1.257;0.160
-21.7615780;-41.3370575;12;1.257;0.160
-21.7615773;-41.3370572;12;1.291;0.234
-21.7615773;-41.3370572;12;1.291;0.234
-21.7615765;-41.3370567;12;1.343;0.327
-21.7615765;-41.3370567;12;1.343;0.327
-21.7615753;-41.3370562;12;1.394;0.457
-21.7615753;-41.3370562;12;1.394;0.457
-21.7615740;-41.3370560;12;1.411;0.605
-21.7615740;-41.3370560;12;1.411;0.605
-21.7615735;-41.3370557;12;1.446;0.661
