Lat;Lon;Sats;X;Y
-21.7615340;-41.3370070;12;-0.124;-0.545
-21.7615340;-41.3370070;12;-0.124;-0.545
-21.7615340;-41.3370070;12;-0.124;-0.545
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615342;-41.3370070;12;-0.124;-0.563
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615343;-41.3370072;12;-0.141;-0.582
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615345;-41.3370072;12;-0.141;-0.600
-21.7615347;-41.3370072;12;-0.141;-0.619
-21.7615347;-41.3370072;12;-0.141;-0.619
-21.7615347;-41.3370072;12;-0.141;-0.619
-21.7615347;-41.3370072;12;-0.141;-0.619
-21.7615347;-41.3370072;12;-0.141;-0.619
-21.7615347;-41.3370072;12;-0.141;-0.619
-21.7615347;-41.3370072;12;-0.141;-0.619
-21.7615347;-41.3370072;12;-0.141;-0.619
-21.7615347;-41.3370070;12;-0.124;-0.619
-21.7615347;-41.3370070;12;-0.124;-0.619
-21.7615347;-41.3370070;12;-0.124;-0.619
-21.7615347;-41.3370070;12;-0.124;-0.619
-21.7615348;-41.3370072;12;-0.141;-0.637
-21.7615348;-41.3370072;12;-0.141;-0.637
-21.7615347;-41.3370073;12;-0.158;-0.619
-21.7615347;-41.3370073;12;-0.158;-0.619
-21.7615345;-41.3370073;12;-0.158;-0.600
-21.7615345;-41.3370073;12;-0.158;-0.600
-21.7615345;-41.3370073;12;-0.158;-0.600
-21.7615345;-41.3370073;12;-0.158;-0.600
-21.7615347;-41.3370075;12;-0.176;-0.619
-21.7615347;-41.3370075;12;-0.176;-0.619
-21.7615347;-41.3370077;12;-0.193;-0.619
-21.7615347;-41.3370077;12;-0.193;-0.619
-21.7615343;-41.3370077;12;-0.193;-0.582
-21.7615343;-41.3370077;12;-0.193;-0.582
-21.7615345;-41.3370078;12;-0.210;-0.600
-21.7615345;-41.3370078;12;-0.210;-0.600
-21.7615343;-41.3370077;12;-0.193;-0.582
-21.7615343;-41.3370077;12;-0.193;-0.582
-21.7615340;-41.3370072;12;-0.141;-0.545
-21.7615340;-41.3370072;12;-0.141;-0.545
-21.7615337;-41.3370072;12;-0.141;-0.508
-21.7615337;-41.3370072;12;-0.141;-0.508
-21.7615337;-41.3370070;12;-0.124;-0.508
-21.7615337;-41.3370070;12;-0.124;-0.508
-21.7615328;-41.3370067;12;-0.090;-0.415
-21.7615328;-41.3370067;12;-0.090;-0.415
-21.7615323;-41.3370063;12;-0.055;-0.359
-21.7615323;-41.3370063;12;-0.055;-0.359
-21.7615327;-41.3370058;12;-0.003;-0.397
-21.7615327;-41.3370058;12;-0.003;-0.397
-21.7615325;-41.3370058;12;-0.003;-0.378
-21.7615325;-41.3370058;12;-0.003;-0.378
-21.7615322;-41.3370055;12;0.031;-0.341
-21.7615322;-41.3370055;12;0.031;-0.341
-21.7615313;-41.3370053;12;0.048;-0.248
-21.7615313;-41.3370053;12;0.048;-0.248
-21.7615300;-41.3370048;12;0.100;-0.100
-21.7615300;-41.3370048;12;0.100;-0.100
-21.7615282;-41.3370050;12;0.083;0.104
-21.7615282;-41.3370050;12;0.083;0.104
-21.7615275;-41.3370047;12;0.117;0.178
-21.7615275;-41.3370047;12;0.117;0.178
-21.7615262;-41.3370042;12;0.169;0.326
-21.7615262;-41.3370042;12;0.169;0.326
-21.7615250;-41.3370038;12;0.203;0.456
-21.7615250;-41.3370038;12;0.203;0.456
-21.7615240;-41.3370033;12;0.255;0.567
-21.7615240;-41.3370033;12;0.255;0.567
-21.7615228;-41.3370028;12;0.306;0.697
-21.7615228;-41.3370028;12;0.306;0.697
-21.7615220;-41.3370025;12;0.341;0.790
-21.7615220;-41.3370025;12;0.341;0.790
-21.7615212;-41.3370022;12;0.375;0.882
-21.7615212;-41.3370022;12;0.375;0.882
-21.7615200;-41.3370020;12;0.392;1.012
-21.7615200;-41.3370020;12;0.392;1.012
-21.7615188;-41.3370015;12;0.444;1.142
-21.7615188;-41.3370015;12;0.444;1.142
-21.7615173;-41.3370013;12;0.461;1.308
